customer_id,customer_type,income,currency,gender,birth_date,channel_type,dependents,geography_city,geography_state,geography_country
CLI0004,,0.0,USD,,,,0,San Salvador,Not Provided,SLV
CLI0058,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI0078,,0.0,USD,,,,0,SAN MARCOS,San Salvador,SLV
CLI0118,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI0134,,0.0,USD,,,,0,SOYAPANGO,San Salvador,SLV
CLI0136,,0.0,USD,,,,0,MEJICANOS,San Salvador,SLV
CLI0189,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI0211,,0.0,USD,,,,0,EL REFUGIO,Ahuachapán,SLV
CLI0240,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI0241,,0.0,USD,,,,0,MEJICANOS,San Salvador,SLV
CLI0379,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI0430,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI0554,,0.0,USD,,,,0,San Salvador,Not Provided,SLV
CLI0557,,0.0,USD,,,,0,LA LIBERTAD,La Libertad,SLV
CLI0558,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI0581,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI0582,,0.0,USD,,,,0,San Salvador,Not Provided,SLV
CLI0670,,0.0,USD,,,,0,APOPA,San Salvador,SLV
CLI0688,,0.0,USD,,,,0,EL CARMEN,Cuscatlán,SLV
CLI0689,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI0716,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI0786,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI0818,,0.0,USD,,,,0,CIUDAD DELGADO,San Salvador,SLV
CLI0836,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI0864,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI0999,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI1044,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI1066,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI1070,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI1131,,0.0,USD,,,,0,San Salvador,Not Provided,SLV
CLI1145,,0.0,USD,,,,0,LA LIBERTAD,La Libertad,SLV
CLI1159,,0.0,USD,,,,0,San Salvador,Not Provided,SLV
CLI1279,,0.0,USD,,,,0,MEJICANOS,San Salvador,SLV
CLI1301,,0.0,USD,,,,0,SOYAPANGO,San Salvador,SLV
CLI1302,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI1308,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI1314,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI1349,,0.0,USD,,,,0,SANTA TECLA,Not Provided,SLV
CLI1354,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI1464,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI1467,,0.0,USD,,,,0,OPICO,La Libertad,SLV
CLI1477,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI1628,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI1633,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI1635,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI1845,,0.0,USD,,,,0,SAN MARCOS,San Salvador,SLV
CLI1936,,0.0,USD,,,,0,LA LIBERTAD,La Libertad,SLV
CLI1970,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI2006,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI2038,,0.0,USD,,,,0,SOYAPANGO,San Salvador,SLV
CLI2041,,0.0,USD,,,,0,LA LIBERTAD,La Libertad,SLV
CLI2043,,0.0,USD,,,,0,COLON,La Libertad,SLV
CLI2076,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI2095,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI2124,,0.0,USD,,,,0,SONSONATE,Sonsonate,SLV
CLI2165,,0.0,USD,,,,0,SANTA TECLA,La Libertad,SLV
CLI2174,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI2208,,0.0,USD,,,,0,APOPA,San Salvador,SLV
CLI2234,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI2256,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI2290,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI2295,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI2313,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI2323,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI2360,,0.0,USD,,,,0,San Salvador,Not Provided,SLV
CLI2394,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI2452,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI2465,,0.0,USD,,,,0,ZARAGOZA,La Libertad,SLV
CLI2509,,0.0,USD,,,,0,COJUTEPEQUE,Cuscatlán,SLV
CLI2512,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI2514,,0.0,USD,,,,0,NUEVO CUSCATLAN,La Libertad,SLV
CLI2520,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI2532,,0.0,USD,,,,0,MEJICANOS,San Salvador,SLV
CLI2537,,0.0,USD,,,,0,SOYAPANGO,San Salvador,SLV
CLI2545,,0.0,USD,,,,0,ANTIGUO CUSCATLAN,La Libertad,SLV
CLI2550,,0.0,USD,,,,0,MEJICANOS,San Salvador,SLV
CLI2557,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI2561,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI2563,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI2566,,0.0,USD,,,,0,SANTA TECLA,La Libertad,SLV
CLI2589,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI2605,,0.0,USD,,,,0,CIUDAD DELGADO,San Salvador,SLV
CLI2606,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI2608,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI2619,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI2636,,0.0,USD,,,,0,San Salvador,San Salvador,SLV
CLI2683,,0.0,USD,,,,0,SONSONATE,Sonsonate,SLV
CLI2697,,0.0,USD,,,,0,SANTA TECLA,La Libertad,SLV
